,State Abbreviation,2011(C),2012(C),2013(C),2014(C),2015(C),2016(C),2017(C),2018(C),2019(C),2020(C),2011(G),2012(G),2013(G),2014(G),2015(G),2016(G),2017(G),2018(G),2019(G),2020(G),2011(P),2012(P),2013(P),2014(P),2015(P),2016(P),2017(P),2018(P),2019(P),2020(P),2011(N),2012(N),2013(N),2014(N),2015(N),2016(N),2017(N),2018(N),2019(N),2020(N),2011(TR),2012(TR),2013(TR),2014(TR),2015(TR),2016(TR),2017(TR),2018(TR),2019(TR),2020(TR),2011(BM),2012(BM),2013(BM),2014(BM),2015(BM),2016(BM),2017(BM),2018(BM),2019(BM),2020(BM),2011(GT),2012(GT),2013(GT),2014(GT),2015(GT),2016(GT),2017(GT),2018(GT),2019(GT),2020(GT),2011(HP),2012(HP),2013(HP),2014(HP),2015(HP),2016(HP),2017(HP),2018(HP),2019(HP),2020(HP),2011(S),2012(S),2013(S),2014(S),2015(S),2016(S),2017(S),2018(S),2019(S),2020(S),2011(W),2012(W),2013(W),2014(W),2015(W),2016(W),2017(W),2018(W),2019(W),2020(W),State,2011_LungBronchus,2011_LungBronchus_perCapita,2011_Population,2012_LungBronchus,2012_LungBronchus_perCapita,2012_Population,2013_LungBronchus,2013_LungBronchus_perCapita,2013_Population,2014_LungBronchus,2014_LungBronchus_perCapita,2014_Population,2015_LungBronchus,2015_LungBronchus_perCapita,2015_Population,2016_LungBronchus,2016_LungBronchus_perCapita,2016_Population,2017_LungBronchus,2017_LungBronchus_perCapita,2017_Population,2018_LungBronchus,2018_LungBronchus_perCapita,2018_Population,2019_LungBronchus,2019_LungBronchus_perCapita,2019_Population,2020_LungBronchus,2020_LungBronchus_perCapita,2020_Population,2021 Lung & Bronchus,2021_Population,2021_LungBronchus_perCapita,2011-2020 allsites/capita AVG,2011-2020 lungBronchus/capita AVG,Lung/Bronchus_Classifer,Change from 2011 to 2020 (percapita)
25,MS,107546,82456,97767,116537,71626,61219,53779,60015,51028,54188,437873,499946,426902,439557,536996,561342,543721,591886,583800,610312,369063,373429,364610,367502,377952,386987,384318,380952,383081,369614,108164,76456,113523,107228,122511,61680,77027,72343,115202,67595,75576,88539,76908,78055,74223,76967,71848,74057,70136,68741,74485,87564,75915,77061,73235,75936,69987,70020,66173,63866,1074,958,958,958,958,958,958,958,958,958,0,0,0,0,0,0,0,0,0,0,17,17,34,35,29,73,902,3078,3005,3916,0,0,0,0,0,0,0,0,0,0,Mississippi,2430,0.000816,2978731,2550,0.000855,2983816,2630,0.00088,2988711,2420,0.000809,2990468,2340,0.000783,2988471,2550,0.000853,2987938,2570,0.00086,2988510,2690,0.000902,2981020,2520,0.000847,2976149,2510,0.000848,2958409.0,2870,2949582,0.0009730192278092286,0.005511,0.000845,1,-3.200000000000002e-05
26,MT,165687,157308,166104,175357,178421,161938,156073,152295,159165,98886,79470,75234,82298,80063,77443,77589,83319,90778,92649,87478,177760,173248,172419,168456,165080,166880,172427,171531,175168,174592,0,0,0,0,0,0,0,0,0,0,143494,127819,118144,137730,129412,132767,140885,147563,133863,142312,8386,8017,8992,9317,18596,19528,19636,23379,22887,20344,403,337,337,337,337,337,337,337,337,337,122382,107373,91959,109189,92094,93042,100795,103759,89030,94224,32,84,115,117,85,110,275,497,488,592,12292,12007,16741,18769,18299,19750,19842,19592,21120,26815,Montana,750,0.000752,997316,700,0.000697,1003783,700,0.000691,1013569,760,0.000744,1021869,760,0.000738,1030475,750,0.000721,1040859,750,0.000713,1052482,830,0.000783,1060665,820,0.000767,1068778,770,0.000708,1087211.0,810,1106366,0.0007321266199431291,0.005643,0.000731,1,4.3999999999999985e-05
27,NC,624783,534713,493771,501592,405525,381761,350286,325121,318154,223906,311189,367948,445018,462289,516026,540271,520659,599308,569405,557570,830733,802771,812705,834289,857023,878993,885764,906189,905845,807695,424073,412722,420486,428474,440248,447500,443192,439915,437683,442166,188541,186574,228352,209090,206845,222384,240022,270114,275441,293174,149240,148190,157380,155000,147848,147215,150492,146317,145756,141691,903,967,967,967,967,967,967,967,967,967,37828,35475,65838,45226,44167,40762,35156,60096,55047,69763,570,1941,4167,7897,13863,33383,49072,57796,69015,75963,0,0,0,0,0,58,4335,4938,4655,4789,North Carolina,7300,0.000756,9657592,7950,0.000815,9749476,8040,0.000817,9843336,7850,0.00079,9932887,7750,0.000773,10031646,7870,0.000775,10154788,7940,0.000773,10268233,8490,0.000818,10381615,8010,0.000764,10488084,8470,0.00081,10453812.0,8830,10567100,0.00083561241967995,0.005361,0.000789,1,-5.39999999999999e-05
28,ND,394771,406344,393193,399195,408091,394579,397875,407262,372018,363255,72247,71873,82334,89095,100852,105625,112146,130084,157419,150166,184822,199212,222215,236320,193722,164552,184122,190027,188349,163767,0,0,0,0,0,0,0,0,0,0,102733,99508,98237,111219,109747,125731,165938,163255,164419,176757,25792,24760,26922,27184,28664,31692,36582,35689,35354,34757,1001,978,978,978,978,978,978,978,978,978,25068,23573,17674,24071,19505,17644,23776,28933,28293,21483,4,6,7,7,7,7,7,8,11,11,50869,50192,52656,58979,60594,75410,104596,97648,99785,119528,North Dakota,420,0.000613,685225,460,0.000656,701176,460,0.000637,722036,400,0.000542,737401,440,0.000584,754066,480,0.000636,754434,480,0.000636,754942,500,0.00066,758080,430,0.000564,762062,460,0.00059,779563.0,490,777982,0.000629834623423164,0.005176,0.000612,1,2.3000000000000017e-05
29,NE,285384,272587,292956,276544,266319,240465,233809,264072,240414,213747,173657,161770,179617,179705,170346,172929,175613,196445,198771,192725,231425,233031,231611,234466,234270,232829,233348,239157,242788,228175,72549,60795,71736,105655,107976,97798,72300,58884,72589,64646,144549,132976,138417,155904,164543,168536,186969,190495,203880,202857,117400,107554,109254,117619,117974,124279,125012,125851,126124,108866,1195,1212,1212,1212,1212,1212,1212,1212,1212,1212,15713,11962,10723,11009,15694,7903,13711,12574,11927,12187,30,33,37,38,41,90,219,373,445,678,10210,12215,17191,26026,29623,35052,46814,50486,64172,79914,Nebraska,1270,0.00069,1840672,1230,0.000664,1853303,1220,0.000654,1865279,1220,0.000649,1879321,1200,0.000634,1891277,1220,0.00064,1905616,1220,0.000637,1915947,1310,0.00068,1925614,1290,0.000667,1934408,1270,0.000647,1963273.0,1350,1964253,0.0006872841736782379,0.005085,0.000656,1,4.299999999999996e-05
30,NH,24489,14191,16778,14867,10989,5277,3617,7798,4182,1518,72778,74336,55649,58785,70742,59638,53633,51471,55366,53630,147637,138269,144512,155001,152764,146737,152656,155704,152435,136963,87508,85814,114173,106350,99186,112551,104493,105195,113890,103052,52027,50256,59059,61731,67603,62838,66803,62624,62394,51219,35670,36249,41530,44447,51507,47703,49094,45512,44270,34337,27,29,29,29,29,29,29,29,29,29,15592,11869,13617,13135,11831,10570,13015,12328,13011,10768,96,124,169,206,292,547,875,1055,1228,1483,642,1986,3713,3914,3944,3989,3790,3700,3857,4602,New Hampshire,1110,0.000841,1320202,1130,0.000853,1324232,1150,0.000867,1326622,1110,0.000832,1333341,1140,0.000853,1336350,1140,0.000849,1342307,1150,0.000853,1348787,1230,0.000909,1353465,1140,0.000838,1359711,1220,0.000885,1378702.0,1240,1387494,0.0008936975583317837,0.006234,0.000858,1,-4.4000000000000094e-05
31,NJ,49592,25589,25910,30731,22925,17455,16488,16732,13780,12144,677521,670827,711999,805145,778866,793928,734147,799555,790685,678931,931578,884720,878077,856154,877467,888468,858632,888315,842885,686425,351658,346962,348784,329533,347851,312569,355948,334373,278147,279308,74190,76886,86152,91005,81586,85369,83836,84239,84994,80762,65958,62806,68475,70479,59875,62371,57421,55033,52416,44783,435,466,466,466,466,466,466,466,466,466,237,102,174,164,89,87,126,323,236,135,7458,13401,16933,19678,20956,22252,25617,28212,31680,35203,102,110,104,217,201,192,207,206,196,175,New Jersey,6210,0.000703,8828117,5990,0.000677,8844942,5960,0.000673,8856972,6130,0.000692,8864525,5830,0.000657,8867949,5580,0.000629,8870827,5540,0.000623,8885525,5870,0.000661,8886025,6070,0.000683,8882190,6100,0.000658,9272392.0,5900,9269175,0.0006365183524963117,0.005762,0.000666,0,4.500000000000001e-05
32,NM,284737,263439,256377,215348,215703,197083,199114,136824,151468,138968,251838,249815,252867,256056,260038,259158,249357,281322,305538,292036,232633,233394,232460,240408,237701,235515,249356,257803,262605,237384,0,0,0,0,0,0,0,0,0,0,43298,45164,46411,48148,48909,64769,78080,95244,105040,106513,18818,17651,19515,18898,20804,21047,20438,23221,26378,21828,442,368,368,451,458,499,487,487,885,835,1892,2120,876,936,926,1365,1779,1361,1408,1777,1698,3844,4724,6234,7253,8587,13069,14754,15037,18739,20447,21181,20927,21631,19466,33271,42307,55421,61333,63334,New Mexico,980,0.000471,2080450,1090,0.000522,2087309,1050,0.000502,2092273,1060,0.000507,2089568,990,0.000474,2089291,1020,0.000488,2091630,1010,0.000483,2091784,1090,0.000521,2092741,1070,0.00051,2096829,1040,0.000491,2118488.0,960,2116950,0.0004534826046907107,0.004698,0.000497,0,-1.9999999999999998e-05
33,NV,62701,52850,64838,79230,36635,30765,27297,34996,37177,27778,255970,281432,282245,261902,312602,316653,305309,310875,315564,310715,267077,261495,268244,275622,266639,289383,306479,308260,306466,245204,0,0,0,0,0,0,0,0,0,0,58036,63674,74096,76197,85212,99674,109544,117235,125022,125514,10111,9303,10305,11481,12513,14187,14630,15717,15870,13689,22419,23886,27022,27496,30519,32493,31859,33045,36335,34870,21284,23223,25588,22717,21088,16511,16691,17116,19952,16862,4222,6036,8790,11649,18207,33310,43037,48516,49933,57245,0,1226,2390,2854,2885,3173,3327,2842,2931,2848,Nevada,1510,0.000557,2712730,1930,0.000703,2743996,1970,0.00071,2775970,2040,0.000724,2817628,1770,0.000617,2866939,1700,0.000583,2917563,1680,0.000566,2969905,2090,0.00069,3027341,1880,0.00061,3080156,1850,0.000594,3115840.0,2080,3146632,0.0006610242316228908,0.004896,0.000635,1,-3.700000000000003e-05
34,NY,125181,72914,68707,64655,41241,29679,19553,16710,13648,5681,1247757,1260950,1315282,1392378,1396693,1336455,1276905,1393657,1337750,1305282,1387352,1341448,1330482,1382080,1383266,1382206,1378849,1423244,1386269,1066114,446761,427277,467651,450141,466457,434791,441029,448718,468481,401441,438840,399747,418075,437667,448392,454021,490642,489219,498124,468231,135968,132355,140965,145391,160141,157681,159888,164409,162300,139541,1283,1185,1185,1185,1185,1185,1185,1185,1185,1185,272019,234593,238270,248060,242299,248125,277575,269574,272495,259064,2093,3147,3885,5296,7725,10670,13911,17674,22491,28799,27478,28468,33770,37736,37042,36360,38084,36377,39653,39642,New York,14200,0.000728,19499241,13620,0.000696,19572932,13480,0.000687,19624447,13720,0.000698,19651049,13180,0.000671,19654666,13200,0.000672,19633428,12700,0.000648,19589572,13190,0.000675,19530351,13380,0.000688,19453561,13370,0.000665,20104710.0,13950,19854526,0.0007026105785653105,0.005597,0.000683,1,6.300000000000001e-05
35,OH,1222606,1019140,1104486,1057377,865714,825311,810953,717818,594257,556769,848771,869556,945731,1058802,1031716,994162,1014299,1236747,1260474,1233412,1067554,1045080,1053987,1062667,1081188,1082887,1073983,1089761,1070162,982394,155806,179055,168451,170319,181726,175893,184997,191483,177624,190316,138111,143509,160117,163389,157489,159177,156232,158726,160334,151400,128531,125625,139153,142875,136918,137760,133183,134397,131871,120825,3372,3435,3435,3435,3435,3435,3435,3435,3435,3435,3728,3941,5240,4545,4253,4617,2554,2220,3583,3281,551,1130,1356,1566,1677,1873,2434,2753,3266,3790,1928,9378,10933,10968,11205,11492,14627,15922,18180,20069,Ohio,10060,0.000871,11544663,10270,0.000889,11548923,10230,0.000884,11576684,9760,0.000841,11602700,10000,0.000861,11617527,10550,0.000907,11634370,10660,0.000914,11659650,10760,0.000922,11676341,9680,0.000828,11689100,10110,0.000857,11798292.0,10350,11765227,0.0008797110331997844,0.005775,0.000877,1,1.4000000000000015e-05
36,OK,378320,327089,335925,336080,280748,221842,198309,171280,93953,70714,676910,712411,682277,667360,711393,736164,692145,842224,873688,847555,507576,522769,506028,535307,521667,520186,544537,541278,524240,474552,0,0,0,0,0,0,0,0,0,0,114750,135556,178059,177919,203058,260290,290968,324177,347056,337045,45595,46968,50705,50755,47467,51206,54515,56225,53420,53253,23,24,24,24,24,24,24,24,24,24,14641,10901,20781,13583,24812,23748,18749,18513,34735,25025,30,36,48,49,71,115,381,691,733,844,54461,77628,106501,113507,130684,185198,217298,248723,258143,257899,Oklahoma,3270,0.000863,3788379,3370,0.000882,3818814,3370,0.000875,3853214,3320,0.000856,3878187,3220,0.000824,3909500,3150,0.000802,3926331,3050,0.000776,3931316,3210,0.000815,3940235,3220,0.000814,3956971,3200,0.000807,3965234.0,3300,3991634,0.0008267291039208504,0.005028,0.000831,0,5.600000000000006e-05
37,OR,35135,28259,38900,34238,26515,19440,18723,16911,27430,17811,203607,220578,244265,226472,245897,249829,262532,271311,302229,282518,331023,323741,322313,325766,323140,327835,335127,339590,334509,300473,0,0,0,0,0,0,0,0,0,0,526732,507768,472016,495029,451541,482943,516930,502494,445620,473155,66252,68997,80146,82579,93349,92009,99322,100985,105017,100335,1286,1476,2803,2977,2898,2927,2838,2836,2883,2916,411131,375027,315785,335306,291098,318822,352611,322458,269836,279848,1665,1903,2147,2323,2429,3139,4825,8458,9429,13105,46398,60365,71135,71844,61766,66046,57334,67757,58457,76950,Oregon,2860,0.000739,3872036,2920,0.000749,3899001,2860,0.000729,3922468,2950,0.000744,3963244,2830,0.000705,4015792,2970,0.000726,4089976,2900,0.0007,4143625,3140,0.000751,4181886,2900,0.000688,4217737,2930,0.00069,4245044.0,2990,4256465,0.0007024608448560014,0.005468,0.000722,0,4.9e-05
38,PA,1212984,1093178,1126118,1039161,878829,734838,669540,644056,568781,374254,1000507,1079495,1175535,1304080,1313350,1354340,1404240,1515912,1679486,1783003,1208894,1157559,1181000,1207164,1187148,1138129,1151732,1170049,1134520,949953,796798,787753,822483,823277,842044,867302,870187,872749,869084,799342,215431,203830,235207,232509,235433,230921,240496,251952,234570,217902,162101,157080,173435,167629,174037,170698,171831,173457,166439,152305,2180,2162,2162,2162,2162,2162,2162,2162,2162,2162,31258,21334,24088,25115,24251,21912,28759,38773,31174,23429,2456,2997,3540,3707,3756,4069,4681,5108,5868,7145,17435,20256,31982,33897,31227,32079,33062,32452,28926,32861,Pennsylvania,10900,0.000855,12745815,10890,0.000853,12767118,10980,0.000859,12776309,10290,0.000805,12788313,10540,0.000824,12784826,10500,0.000821,12782275,9930,0.000777,12787641,10470,0.000818,12800922,10380,0.000811,12801989,10710,0.000824,12995477.0,11170,13013614,0.0008583318976573302,0.006246,0.000825,1,3.0999999999999995e-05
39,RI,0,0,0,0,0,0,0,0,0,0,102465,98435,88274,91374,96514,88471,94730,104748,97931,100985,82254,78856,82166,86353,86112,74342,75184,82615,77313,68314,0,0,0,0,0,0,0,0,0,0,6901,6003,6106,7902,8469,8267,9567,10045,11832,13926,6573,5747,5818,7473,7992,7496,7439,7336,7779,7584,127,57,57,57,57,57,57,57,57,57,72,41,42,38,29,20,22,37,32,31,100,145,165,240,297,450,678,1172,2130,4372,28,13,25,94,94,245,1371,1443,1835,1883,Rhode Island,880,0.000835,1053649,860,0.000815,1054621,870,0.000825,1055081,870,0.000824,1055936,880,0.000833,1056065,890,0.000842,1056770,860,0.000815,1055673,880,0.000832,1058287,940,0.000887,1059361,920,0.000839,1096444.0,950,1097092,0.0008659255559242069,0.005806,0.000835,1,-3.999999999999989e-06
40,SC,366160,298572,257319,305656,241217,221865,192751,205204,160703,137280,235465,250481,236942,236040,284013,284225,287408,338951,347904,343349,485250,468285,480197,479576,511425,522302,524166,526034,515839,465872,553573,535952,566879,548246,555909,583883,568390,551151,585828,571930,135879,138964,156589,158548,151230,150318,152847,165199,166366,173989,120127,124748,125730,133352,126557,128715,133265,130188,128634,121095,605,648,648,648,648,648,648,648,648,648,15100,13515,30152,24430,23884,20542,16897,27419,26485,33865,46,52,58,117,140,412,2036,6944,10599,18380,0,0,0,0,0,0,0,0,0,0,South Carolina,3900,0.000835,4671994,4270,0.000905,4717354,4390,0.000921,4764080,4130,0.000856,4823617,4040,0.000826,4891938,4280,0.000863,4957968,4320,0.00086,5021268,4630,0.000911,5084156,4360,0.000847,5148714,4460,0.000869,5132151.0,4510,5193848,0.0008683349994069908,0.00569,0.000869,0,-3.399999999999996e-05
41,SD,32112,35574,34246,33062,19616,26660,26114,27618,31420,21692,73973,71501,84527,83919,83370,85021,85339,95548,97428,91244,112687,116746,112656,114520,115692,113289,112658,115313,116179,119687,0,0,0,0,0,0,0,0,0,0,154349,140762,128968,140135,138038,149018,148279,158194,169269,171078,62252,59574,62689,63760,67721,68514,70746,73493,72109,69450,1962,1868,1868,1868,1868,1868,1868,1868,1868,1868,64205,56915,38761,52283,45177,44345,48393,57011,70437,51117,5,6,6,9,10,15,32,29,32,38,25925,22399,25643,22216,23262,34275,27240,25793,24822,48606,South Dakota,580,0.000704,823579,620,0.000744,833566,620,0.000736,842316,540,0.000636,849129,570,0.000667,853988,590,0.000684,862996,590,0.000676,872868,650,0.00074,878698,580,0.000656,884659,590,0.000665,887852.0,650,896299,0.0007252044239701261,0.005456,0.000691,1,3.899999999999997e-05
42,TN,481127,423086,399768,427509,370650,379775,334567,251835,216876,176104,267929,281007,284750,313887,322468,336341,331613,404318,420285,398610,673366,646741,655891,672629,687482,702677,694516,700650,713625,657467,281682,263045,297732,289401,261037,309357,332779,378224,372992,383245,191304,181037,226381,194804,196878,170822,182761,199132,191569,211994,97500,101260,106278,108613,105705,106205,100443,102527,97106,89848,199,213,213,213,213,213,213,213,213,213,93037,78942,118721,84636,89240,62511,80028,93643,90145,117937,53,170,723,856,1293,1545,1678,2377,3767,3653,516,452,446,486,427,348,399,373,338,344,Tennessee,5870,0.000917,6399291,6140,0.000951,6453898,6200,0.000955,6494340,5980,0.000914,6541223,6200,0.000941,6591170,6010,0.000904,6646010,5830,0.000869,6708799,6030,0.00089,6771631,6210,0.000909,6829174,6300,0.00091,6926091.0,6410,6963709,0.0009204864821318639,0.005576,0.000916,1,6.999999999999953e-06
43,TX,1695239,1498818,1597357,1585961,1340422,1323111,1451978,1189311,992721,872845,3800578,3964124,4131225,4060590,4263856,4151065,3987778,4596600,4795216,4718367,5393262,5504726,5828991,5803534,6022376,6175136,6286229,6720839,6850186,6187966,414881,402823,400353,410907,411571,440109,403523,430597,431234,432869,524901,533395,584228,634054,672832,820815,915338,1009917,1071087,1149538,218877,216418,231668,242682,237474,264117,260442,272193,262990,237571,2488,2478,2478,2478,2478,2478,2478,2478,2478,2478,5471,5562,4580,3670,8908,12384,9779,10248,13130,9463,1260,2387,3231,4815,6394,10942,25141,36275,48351,89596,296805,306550,342270,380409,417578,530894,617498,688723,744138,810430,Texas,13380,0.000522,25645629,14810,0.000568,26084481,15000,0.000566,26480266,14890,0.000552,26964333,13650,0.000497,27470056,14620,0.000524,27914410,14560,0.000515,28295273,15460,0.00054,28628666,14750,0.000509,28995881,14830,0.000507,29234361.0,15010,29561286,0.0005077586949363435,0.004229,0.00053,0,1.500000000000004e-05
44,UT,346181,322055,355230,344054,330043,269016,274816,273117,266989,244280,230672,232630,258661,251649,242848,250199,231151,253819,276460,266595,276715,269396,271571,274435,276308,285349,294385,310060,305584,285122,0,0,0,0,0,0,0,0,0,0,31282,28026,25011,29679,33778,47601,64181,61286,60089,61965,9627,10023,10907,11185,14999,16556,16045,16879,17840,16269,4027,3993,3851,5768,4809,5285,5237,4864,3570,4111,11952,7116,4818,6018,7160,7009,11913,8435,7788,7160,110,196,285,433,980,11163,23084,23879,23607,27389,5565,6698,5150,6275,5830,7588,7903,7229,7285,7037,Utah,630,0.000224,2814384,880,0.000308,2853375,800,0.000276,2897640,650,0.000221,2936879,660,0.000221,2981835,890,0.000293,3041868,850,0.000274,3101042,900,0.000285,3153550,780,0.000243,3205958,730,0.000222,3283982.0,770,3339284,0.0002305883536710265,0.003646,0.000257,0,1.9999999999999944e-06
45,VA,288348,222270,290508,278183,232427,222938,159813,149349,85120,75434,383436,424000,433438,438697,526314,572103,596648,667004,717725,748377,795625,796113,793774,830111,834674,844901,847776,869728,872814,739500,267334,300992,306430,316081,293455,310966,319562,305826,308013,314843,136050,134372,152518,167411,169053,167391,167010,183826,169910,170439,121982,122117,138197,155898,155759,151006,150998,157833,144528,136500,1764,1701,1701,1701,1701,1701,1701,1701,1701,1701,11760,9933,11961,9083,10790,13579,10279,16057,13520,17799,544,621,658,729,803,1104,4032,8235,10160,14439,0,0,0,0,0,0,0,0,0,0,Virginia,5670,0.0007,8101155,5550,0.000678,8185080,5380,0.000652,8252427,5580,0.000671,8310993,5740,0.000686,8361808,5690,0.000677,8410106,5400,0.000638,8463587,5860,0.000689,8501286,5950,0.000697,8535519,5960,0.00069,8637193.0,5820,8657348,0.0006722612975705724,0.005065,0.000678,0,1.0000000000000026e-05
46,VT,0,0,0,0,0,0,0,0,0,0,8677,8287,9743,10853,12245,12383,12281,14208,14381,13589,79938,75387,78655,79824,81888,77727,77379,75792,77367,70379,51351,52283,50639,52929,0,0,0,0,0,0,33019,28836,36145,35555,41531,38701,40945,44258,43772,39823,18657,16557,21134,20763,26814,24707,24286,27044,25721,23307,27,29,29,29,29,29,29,29,29,29,13843,10956,12269,11176,10613,9943,11790,11538,11898,9904,170,277,462,627,1044,1335,2028,2251,2765,3221,322,1017,2252,2960,3030,2687,2812,3397,3359,3363,Vermont,530,0.000845,627049,550,0.000878,626090,590,0.000942,626210,550,0.00088,625214,570,0.000912,625216,510,0.000818,623657,510,0.000817,624344,560,0.000897,624358,510,0.000817,623989,570,0.000887,642936.0,570,647093,0.0008808625653499574,0.006368,0.000869,1,-4.199999999999994e-05
47,WA,56951,42656,74955,76547,58273,53302,61732,61166,80837,59443,272261,271947,327840,320167,327738,324929,350872,334779,378216,354969,694946,697816,698425,681853,732667,800690,769685,775777,794537,621358,50293,97808,88408,99332,85347,100674,85013,101502,92584,98475,1080055,1036980,942926,957292,891733,948976,967707,955305,797587,884394,125648,121432,128945,130961,140355,149698,144865,144912,147193,129421,1262,1136,1136,1136,1136,1136,1136,1136,1136,1136,892101,851343,745678,755615,683693,722975,756740,735877,587497,669883,199,266,338,471,649,957,1200,1505,2340,2722,60845,62803,66829,69109,65900,74210,63767,71875,59421,81231,Washington,4540,0.000665,6826627,4700,0.000681,6897058,4700,0.000675,6963985,4630,0.000656,7054655,4790,0.000669,7163657,4670,0.00064,7294771,4390,0.000591,7423362,4810,0.000639,7523869,4770,0.000626,7614893,4790,0.00062,7724566.0,4780,7741433,0.0006174567421819707,0.005069,0.000646,0,4.500000000000001e-05
48,WI,447370,373281,454554,417096,408189,357335,388614,362077,280108,249316,399247,410305,454050,479396,476969,501042,504808,565291,592529,571817,516508,501822,510487,543179,534079,524098,523110,548839,547523,493092,120962,149845,121994,98807,104666,106173,100919,105900,104736,102071,186444,178205,188808,195664,200490,200299,198839,203443,202897,183061,153143,147797,154023,155692,162766,159324,157696,164881,160588,140351,574,615,615,615,615,615,615,615,615,615,20859,14562,18880,23504,21801,25795,24468,21763,23502,24440,327,409,425,468,505,583,952,1286,1481,2195,11540,14822,14864,15386,14803,13983,15107,14899,16711,15460,Wisconsin,4020,0.000705,5705288,4220,0.000738,5719960,4310,0.000751,5736754,4020,0.000699,5751525,4370,0.000759,5760940,4230,0.000733,5772628,4280,0.000739,5790186,4400,0.000758,5807406,4150,0.000713,5822434,4290,0.000728,5896700.0,4540,5879978,0.0007721117323908355,0.005677,0.000732,1,-2.3000000000000017e-05
49,WV,822645,756716,771188,816460,730949,751957,710445,661760,621722,539707,124935,140133,152880,180222,191059,188491,199298,221402,239854,265123,199665,194403,195225,193011,189690,199199,191481,216968,208371,179259,0,0,0,0,0,0,0,0,0,0,53542,51398,61073,57169,44994,47885,49947,53573,49681,48020,28625,25431,31139,31440,19150,19415,19027,20488,19788,17204,30,32,32,32,32,32,32,32,32,32,14118,13622,16590,11810,12900,15118,15271,16810,15182,13957,57,75,84,85,93,104,126,140,163,188,10712,12238,13229,13801,12818,13216,15491,16103,14515,16638,West Virginia,2080,0.001121,1856301,2070,0.001115,1856872,2100,0.001133,1853914,2090,0.00113,1849489,2080,0.001129,1842050,2020,0.001103,1831023,1980,0.00109,1817004,2060,0.001142,1804291,2010,0.001122,1792147,2030,0.001133,1791562.0,2020,1785249,0.0011314948222908962,0.006452,0.001122,1,-1.1999999999999858e-05
50,WY,467671,490128,520699,489300,487177,457315,458496,455748,410221,388253,161776,158546,156110,142268,126421,132478,158370,175639,172235,169076,168323,172121,161686,171012,158389,152624,153755,159048,155232,138481,0,0,0,0,0,0,0,0,0,0,61810,55484,54820,56015,52372,58491,59425,54920,57094,68407,4436,4728,5052,5172,8604,8306,8586,8400,8867,8328,670,663,663,663,663,663,663,663,663,663,11890,8502,6782,8261,8087,8983,10346,8877,8832,9521,6,14,24,24,27,33,45,67,1687,1565,44809,41576,42298,41894,34990,40505,39785,36912,37045,48329,Wyoming,310,0.000546,567299,330,0.000573,576305,320,0.00055,582122,330,0.000566,582531,320,0.000546,585613,310,0.000531,584215,320,0.000553,578931,330,0.000571,577601,310,0.000536,578759,320,0.000554,577664.0,320,579548,0.0005521544375961956,0.004847,0.000553,0,-7.999999999999978e-06
51,US,19663856,17380923,18038771,17996577,15548985,14227138,13839632,13249958,11314925,9182696,24953771,26075691,26788768,27376838,28179686,28392790,28056891,31163246,32236174,31562036,34639718,33833375,34398415,34658248,35368448,35712347,36043829,36892286,36867235,32333489,8268698,8061822,8244433,8337559,8336886,8426753,8418968,8438068,8451852,8251075,9209646,8852895,9464268,9761070,9749471,10408644,11138359,11369899,11468314,11518077,4616493,4516952,4861035,5015522,5014887,5063053,5044599,5104513,5056000,4640247,212311,211592,214006,214474,211756,209541,210154,208769,201192,202805,3102852,2628702,2562382,2466317,2319932,2471371,2765466,2661383,2561788,2500996,110354,155590,225486,337397,426543,569992,776521,914505,1016276,1211326,1167636,1340059,1601359,1727360,1776353,2094687,2341619,2480728,2633058,2962703,United States,221130,0.00071,311556874,226160,0.000721,313830990,228190,0.000722,315993715,224210,0.000704,318301008,221200,0.00069,320635163,224390,0.000695,322941311,222500,0.000685,324985539,234030,0.000716,326687501,228160,0.000695,328239523,228820,0.000690319957175907,331469484.0,235760,332048977,0.0007100157396359031,0.005255,0.000703,1,1.9680042824093014e-05
